"id","arrondissement_id","street_id"
"8","0","3"
"68","0","23"
"92","0","32"
"115","0","43"
"168","0","63"
"215","0","76"
"219","0","78"
"241","0","88"
"267","0","99"
"273","0","102"
"282","0","106"
"354","0","128"
"364","0","132"
"367","0","134"
"559","0","196"
"775","0","261"
"843","0","282"
"1062","0","345"
"1136","0","366"
"1225","0","395"
"1232","0","398"
"1306","0","424"
"1335","0","433"
"1336","0","434"
"1356","0","440"
"1482","0","477"
"1682","0","543"
"1685","0","545"
"1740","0","563"
"1871","0","602"
"1886","0","607"
"2091","0","664"
"2171","0","688"
"2269","0","719"
"2270","0","720"
"2271","0","721"
"2272","0","722"
"2273","0","723"
"2379","0","753"
"2394","0","760"
"2415","0","767"
"2433","0","775"
"2472","0","787"
"2485","0","792"
"2490","0","794"
"2499","0","797"
"2529","0","806"
"2542","0","809"
"2545","0","811"
"2561","0","815"
"2581","0","821"
"2590","0","825"
"2649","0","846"
"2680","0","855"
"2740","0","877"
"2755","0","883"
"2761","0","887"
"2767","0","889"
"2768","0","890"
"2780","0","895"
"2784","0","898"
"2790","0","901"
"2804","0","906"
"2811","0","910"
"3101","0","912"
"2821","0","916"
"2822","0","917"
"2829","0","919"
"2843","0","925"
"2858","0","932"
"2864","0","935"
"2887","0","944"
"2909","0","952"
"2920","0","955"
"2921","0","956"
"2922","0","957"
"2931","0","961"
"2932","0","962"
"2997","0","986"
"3008","0","993"
"3035","0","1002"
"3068","0","1016"
"3095","0","1028"
"3096","0","1029"
"3100","0","1031"
"30","1","11"
"41","1","14"
"65","1","22"
"119","1","45"
"128","1","48"
"133","1","50"
"187","1","69"
"195","1","71"
"201","1","72"
"238","1","87"
"264","1","98"
"276","1","104"
"308","1","116"
"320","1","119"
"351","1","127"
"368","1","135"
"380","1","139"
"383","1","140"
"397","1","144"
"453","1","163"
"486","1","174"
"490","1","175"
"547","1","192"
"550","1","193"
"556","1","195"
"586","1","206"
"618","1","213"
"657","1","229"
"668","1","231"
"730","1","249"
"740","1","251"
"759","1","256"
"765","1","258"
"811","1","271"
"847","1","284"
"869","1","290"
"874","1","292"
"909","1","303"
"912","1","304"
"922","1","306"
"938","1","311"
"941","1","312"
"988","1","325"
"997","1","327"
"1010","1","330"
"1030","1","335"
"1059","1","343"
"1080","1","350"
"1090","1","352"
"1093","1","353"
"1096","1","354"
"1137","1","367"
"1151","1","371"
"1168","1","379"
"1171","1","380"
"1208","1","389"
