comapny_id,original_reference_id
1,25
2,69
3,133
4,21
5,30
6,74
7,77
8,87
9,91
10,69
11,130
12,37
13,104
14,22
15,28
16,36
17,142
18,69
19,96
20,57
21,27
22,43
23,39
24,106
25,82
26,24
27,
28,113
29,118
30,161
31,
32,81
33,123
34,104
35,22
36,32
37,22
38,42
39,110
40,85
41,92
42,105
43,26
44,42
45,62
46,136
47,105
48,41
49,27
50,82
51,57
52,60
53,79
54,108
55,74
56,124
57,78
58,108
59,101
60,127
61,47
62,136
63,126
64,144
65,113
66,25
67,21
68,113
69,121
70,128
71,41
72,102
73,48
74,52
75,49
76,130
77,161
78,104
79,113
80,119
81,41
82,124
83,94
84,30
85,40
86,132
87,44
88,78
89,144
90,108
91,26
92,63
93,26
94,53
95,101
96,35
97,72
98,81
99,110
100,139
101,41
102,40
103,29
104,51
105,125
106,126
107,91
108,162
109,33
110,125
111,135
112,89
113,127
114,79
115,31
116,116
117,100
118,129
119,37
120,20
121,111
122,76
123,42
124,25
125,69
126,56
127,30
128,36
129,121
130,46
131,51
132,100
133,29
134,35
135,34
136,136
137,36
138,45
139,25
140,64
