id;name_old_verbatim;name_old_clean;name_new;geo_long;geo_lat
1;De La Motte Picquet;Avenue De La Motte-piquet;avenue de La Motte-Picquet;2.307759;48.855798
2;Des Champs Elysées;Avenue Des Champs-elysées;Avenue des Champs-Élysées;2.30786;48.86967
3;Marbeuf;Avenue Marbeuf;;;
4;De Cherbourg;Galerie De Cherbourg;rue Joseph-Sansbœuf;2.32294;48.8755
5;Guéménée;Impasse Guéménée;impasse Guéménée;2.36577;48.8541
6;De L' Opéra;Passage De L' Opéra;boulevard des Italiens;2.33699722;48.87141944
7;D'antin;Rue D' Antin;rue d'Antin;2.33351;48.869
8;D' Astorg;Rue D'astorg;rue d'Astorg;2.31949;48.8731
9;D' Aguesseau;Rue D' Aguesseau;rue d'Aguesseau;2.31963;48.8705
10;D' Albouy;Rue D' Albouy;rue Lucien-Sampaix;2.36086;48.8723
11;D' Alger;Rue D' Alger;rue d'Alger;2.32995;48.8656
12;D' Amboise;Rue D' Amboise;rue d'Amboise;2.33863;48.8711
13;D' Amsterdam;Rue D' Amsterdam;rue d'Amsterdam;2.32703;48.87954
14;D' Angiviller;Rue D' Angiviller;rue du Louvre;2.34245;48.8641
15;D' Angoulême Du Temple;Rue D' Angoulême-du-temple;rue Jean-Pierre-Timbaud;2.3743;48.8669
16;D' Angoulême Saint Honoré;Rue D' Angoulême-saint-honoré;rue La Boétie;2.3123;48.8732
17;D' Anjou Au Marais;Rue D' Anjou-au-marais;rue Pastourelle;2.3591666666667;48.862777777778
18;Monthyon;Rue Monthyon;rue Mouton-Duvernet;2.32788;48.8319
19;D' Anjou Saint Honoré;Rue D' Anjou-saint-honoré;rue d'Anjou;2.32213;48.8726
21;D' Arcole;Rue D' Arcole;rue d'Arcole;2.34954;48.8541
22;D' Argenteuil;Rue D' Argenteuil;rue d'Argenteuil;2.3338611111111;48.865427777778
23;Quintaine;Rue Quintaine;;;
24;D' Arras;Rue D' Arras;rue d'Arras;2.3516;48.8474
25;D' Assas;Rue D' Assas;rue d'Assas;2.3319444444444;48.845277777778
26;De La Chapelle;Rue De La Chapelle;rue Riquet;2.36848;48.8896
27;D' Aumale;Rue D' Aumale;rue d'Aumale;2.3359;48.8782
28;D' Austerlitz St Marcel;Rue D' Austerlitz-st-marcel;rue Esquirol;2.36046;48.8349
29;D' Enfer;Rue D' Enfer;avenue Denfert-Rochereau;2.33452;48.836493
30;D' Enghien;Rue D' Enghien;rue d'Enghien;2.35066;48.872
31;De L' Eglise;Rue De L' Eglise;rue des Batignolles;2.32125;48.8847
32;Cour Des Miracles;Cour Des Miracles;;;
33;D' Estrées;Rue D' Estrées;rue d' Estrés;2.31129;48.8515
34;D' Hauteville;Rue D' Hauteville;rue d'Hauteville;2.35065;48.8741
35;D' Orléans Saint Marcel;Rue D' Orléans-saint-marcel;rue Daubenton;2.35237;48.841
36;Cardinet;Rue Cardinet;rue Cardinet;2.31128;48.8854
37;De La Butte Chaumont;Boulevard De La Butte Chaumont;boulevard de la Villette;2.37043;48.87852
40;De Strasbourg;Rue De Strasbourg;rue du 8-Mai-1945;2.35875;48.87605556
41;De L' Abbaye;Rue De L' Abbaye;rue de l'Abbaye;2.3347222222222;48.854222222222
42;De L' Ancienne Comédie;Rue De L' Ancienne-comédie;rue de l'Ancienne-Comédie;2.33856;48.8532
43;D' Isly;Passage D' Isly;;;
44;De L' Arbalète;Rue De L' Arbalète;rue de l'Arbalète;2.34746;48.8399
45;De L' Arbre Sec;Rue De L' Arbre-sec;rue de l'Arbre-Sec;2.34215;48.86
46;De L' Arcade;Rue De L' Arcade;rue de l'Arcade;2.32419;48.873
47;De L' Arcade Colbert;Rue De L' Arcade-colbert;rue Colbert;2.33836;48.8682
48;De L' Arche Pépin;Rue De L' Arche-pépin;rue Édouard Colonne;2.34556;48.8579
49;De L' Echaudé Saint Germain;Rue De L' Echaudé-saint-germain;rue de l'échaudé;2.33608;48.8539
50;De L' Echelle;Rue De L' Echelle;rue de l'échelle;2.33399;48.8635
51;De L' Echiquier;Rue De L' Echiquier;rue de l'échiquier;2.35043;48.8715
52;Des Poissonniers;Rue Des Poissonniers;rue des Poissonniers;2.35111;48.8878
53;De L' Ecole De Médecine;Rue De L' Ecole De Médecine;rue de l'école de médecine;2.341;48.8509
54;De L' Ecole De Médecine;Rue De L' Ecole-de-médecine;rue de l'école de médecine;2.341;48.8509
55;De L' Egoût Saint Germain;Rue De L' Egoût-saint-germain;rue de Rennes;2.32921;48.8495
56;De L' Entrepôt;Rue De L' Entrepôt;rue Yves-Toudic;2.36388889;48.86972222
57;De L' Eperon;Rue De L' Eperon;rue de l'éperon;2.34066;48.8527
58;De Rochechouart;Boulevard De Rochechouart;boulevard Marguerite-de-Rochechouart;2.343047;48.882586
59;De L' Hôtel Colbert;Rue De L' Hôtel-colbert;rue de l'Hôtel-Colbert;2.34901;48.851845
60;De L' Isly;Rue De L' Isly;rue de l'Isly;2.32582;48.8748
61;De L' Odéon;Rue De L' Odéon;rue de l'Odéon;2.33869444;48.85086111
62;De L' Ouest;Rue De L' Ouest;rue de l'Ouest;2.31713;48.8349
63;Ferme;Ferme;;;
64;Des Batignolles Monceaux;Boulevard Des Batignolles-monceaux;boulevard des Batignolles;2.32157;48.882215
65;De La Chapelle Saint Denis;Boulevard De La Chapelle-saint-denis;boulevard de la Chapelle;2.35916667;48.88416667
66;Des Vertus;Boulevard Des Vertus;boulevard de la Chapelle;2.35916667;48.88416667
67;De L' Université;Rue De L' Université;rue de l'Université;2.31594;48.8609
68;D' Allemagne;Rue D' Allemagne;avenue Jean Jaurès;2.38337;48.8862
69;De La Banque;Rue De La Banque;rue de la Banque;2.34103;48.8681
70;D' Antin;Rue D' Antin;rue Biot;2.32563;48.8848
71;De La Barillerie;Rue De La Barillerie;boulevard du Palais;2.3457725;48.8551865
72;De La Bibliothèque;Rue De La Bibliothèque;rue de Rivoli;2.3536722222222;48.856916666667
