Person_ID,original_reference_id
2257,19
2256,19
774,19
4028,19
292,19
4296,19
773,19
3820,19
775,19
3821,19
776,19
3822,19
281,19
4389,19
777,19
2503,19
2504,19
3823,19
778,19
766,19
2848,19
779,19
291,21
290,21
1737,21
2258,19
3470,19
1734,20
282,19
286,20
3551,20
3082,20
284,20
782,20
2850,20
4026,20
4297,20
1732,20
4391,20
2259,20
2849,20
285,20
4390,19
2506,20
4634,20
783,20
780,20
3824,20
2,20
283,20
2260,20
1731,19
1733,20
2505,20
4298,20
3549,20
4507,20
4025,20
2132,19
2507,20
1735,20
3083,20
4635,20
1,20
781,20
4262,20
3548,19
3550,20
2133,20
4508,20
287,20
1736,20
4027,20
2851,21
3,21
3825,21
4509,21
2508,21
3552,21
288,21
289,21
4299,21
3084,21
4392,21
784,21
2852,21
4,21
3085,21
4029,21
293,21
2853,21
4636,21
294,21
1738,21
785,21
786,21
2509,21
5,21
295,21
1739,21
1740,21
3086,21
1741,21
2261,21
3826,21
787,21
4488,21
2134,21
1742,21
6,22
296,22
7,22
4709,22
2510,22
8,22
788,22
3087,22
2854,22
3088,22
789,22
790,22
4611,22
9,22
3553,22
791,22
3471,22
297,22
4300,22
3554,22
11,22
10,22
792,22
3556,22
2135,22
3555,22
793,22
794,22
1743,22
4301,22
3472,22
795,22
4030,22
4393,22
2262,22
796,22
797,23
3557,23
298,23
798,23
800,23
799,23
4394,23
1744,23
4729,23
801,23
12,23
802,23
2511,23
13,23
3089,23
3090,23
14,23
2855,23
803,23
804,23
805,23
2512,23
2513,23
4031,23
2136,23
2137,23
299,23
1745,23
15,23
4032,23
806,23
3558,23
3827,23
4302,23
807,23
809,24
1720,24
2857,24
4489,24
1748,24
2139,24
4033,24
808,24
1747,24
2514,24
2515,24
2265,24
2263,24
1746,24
2264,24
3091,24
3092,24
3093,24
3829,24
2856,24
810,24
1719,24
3094,24
3828,24
3561,24
2516,24
2517,24
2518,24
18,24
2138,24
17,24
3559,24
3560,24
4191,24
16,24
811,24
812,24
813,24
814,24
3096,24
4034,24
3095,24
3473,24
21,25
1749,25
1750,25
301,25
4637,25
3562,25
3097,25
815,25
3098,25
2266,25
816,25
300,25
19,25
817,25
2519,25
3563,25
818,25
302,25
819,25
4550,25
20,25
4638,25
820,25
4303,25
821,25
2267,25
303,25
304,25
1751,25
305,25
312,27
306,26
2140,25
2268,25
829,26
4711,27
4395,26
4036,25
4551,25
1721,26
2521,26
2858,26
2859,26
2860,26
828,26
2520,25
1752,26
3474,25
2141,25
822,25
823,
827,26
2142,26
2143,26
826,26
4035,26
24,27
824,26
838,27
825,26
4396,27
837,27
2524,27
839,27
313,27
314,28
4310,27
4613,28
2525,28
3567,28
840,28
2145,28
841,28
4640,28
2865,28
3099,28
4037,28
315,28
2526,28
4397,28
3100,28
316,28
852,
3101,28
842,28
4038,28
2272,28
843,28
848,28
1753,28
847,28
2269,26
3831,28
3566,26
4040,29
849,28
4304,
307,26
844,
830,
845,28
2522,26
2527,28
2270,
2273,28
4639,26
2866,28
846,28
4710,26
4553,28
4039,28
4612,26
2861,26
2862,26
831,26
3475,26
3476,28
3830,26
3564,26
3565,26
4490,26
4510,28
2528,29
1759,26
4305,26
22,27
2144,26
23,27
4730,27
308,27
1754,27
1755,27
2523,27
1756,27
832,27
311,27
2271,27
834,27
1757,27
4306,27
833,27
309,27
310,27
2863,27
4307,27
1758,27
4379,27
835,27
4309,27
836,27
4308,27
4552,27
2864,27
3477,29
850,29
4761,29
851,29
2867,29
1760,29
3478,29
3832,29
4554,29
2868,29
2529,29
3479,29
3568,29
3569,29
3815,29
2530,29
4243,29
3833,29
2146,29
2274,29
317,29
853,29
318,29
319,29
3102,29
2531,29
854,29
2532,29
1761,29
2275,29
4605,29
856,29
855,29
4041,30
3834,30
857,30
4263,30
4555,30
2276,30
2277,30
858,30
3103,30
3480,30
3481,30
860,30
320,30
25,30
3104,30
321,30
322,30
859,30
861,30
4511,30
1762,30
862,30
863,30
4311,30
323,30
3835,30
2869,30
864,30
26,30
865,30
3570,30
2870,30
4556,30
1763,30
4641,30
4557,30
3482,30
3836,30
2147,31
1764,31
866,31
2871,31
2533,31
1765,31
2278,31
867,31
2148,31
2872,31
868,31
2534,31
869,31
324,31
3571,31
27,31
871,31
870,31
872,31
29,31
3105,31
873,31
874,31
2535,31
2537,31
2536,31
4512,31
325,31
3572,31
3106,31
3107,31
3108,31
4614,31
28,31
3573,31
875,31
2538,31
326,32
4043,32
4042,32
2279,32
876,32
3574,32
1766,32
1767,32
877,32
3575,32
3837,31
3109,32
30,32
878,32
327,32
1768,32
1769,32
4712,32
3110,32
4731,32
879,32
3576,32
880,32
31,32
2149,32
3111,32
3112,32
2539,32
4606,32
2150,32
881,32
2151,32
3577,32
3113,32
32,32
882,32
4192,32
4193,33
2873,33
3115,32
883,32
884,32
33,33
3838,33
3114,32
2280,33
2874,33
3483,33
2540,33
328,33
4615,33
329,33
3116,33
885,33
4312,33
3578,33
2875,33
886,33
34,33
3484,33
2152,33
2541,33
35,33
330,33
4313,33
2542,33
3485,33
887,33
4264,33
1770,33
888,33
36,33
3117,33
889,33
1771,33
3839,33
3118,33
4642,33
4023,34
2281,34
4194,34
1772,34
331,34
2543,34
2153,
1773,34
332,34
4314,34
333,34
2282,34
334,34
3579,34
2544,34
890,34
891,34
37,34
4315,34
2154,34
4491,34
2876,34
4558,34
38,34
2155,34
4244,34
3119,34
3840,34
4506,34
4295,34
3580,34
892,34
3120,34
2877,34
4316,34
335,34
3121,34
1774,35
4195,35
4732,35
4044,35
3122,35
336,35
3123,35
337,35
2283,35
4196,35
3486,35
893,35
3487,35
3488,35
3581,35
4398,35
2878,35
894,35
4045,35
338,35
895,35
896,35
3841,35
3582,35
339,35
1775,35
39,35
340,35
341,35
897,35
342,35
3124,35
3125,35
2545,35
898,35
343,35
2284,35
3126,35
2156,35
3127,36
2285,36
4046,36
899,36
2286,36
3128,36
4559,36
345,36
3489,36
344,36
2287,36
900,36
2546,36
4047,36
1776,36
901,36
4048,36
3129,36
2879,36
902,36
903,36
905,36
904,36
346,36
4513,36
4399,36
4514,36
1777,36
347,36
348,36
3130,36
349,36
2547,36
3842,36
350,36
3131,37
906,37
3132,37
3466,37
2880,37
3490,37
907,37
908,37
40,37
909,37
2288,37
910,37
2289,37
351,37
911,37
2548,37
912,37
41,37
913,37
3583,37
1778,37
4049,37
42,37
3584,37
914,37
4050,37
44,37
2157,37
3133,37
2290,37
3585,37
3135,38
3134,37
45,38
3844,38
3491,38
3136,38
4643,38
4644,38
4733,38
3586,38
3587,38
1779,38
915,38
916,38
3845,38
46,38
43,
3843,
917,38
353,38
4645,38
3846,38
352,
47,38
2881,38
918,
48,38
49,38
2882,38
354,38
355,38
920,38
922,38
924,39
51,39
2555,39
2556,39
4515,38
2549,38
921,38
4265,38
919,38
3492,38
2883,38
2550,38
4400,38
2551,38
2291,38
923,39
356,39
2552,39
2553,39
50,39
4516,39
357,39
358,39
2884,39
925,39
465,
2293,39
2294,39
2292,39
4401,39
4266,39
359,39
3137,39
3847,39
52,39
2554,39
53,39
928,39
927,39
926,39
